name,English_name,character_name,img_url
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/16/26357.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/6/26358.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/15/35451.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/3/56575.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/13/73469.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/2/81114.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/4/343974.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/13/388694.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/14/510237.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/5/26120.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/4/35456.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/2/39613.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/2/39614.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/6/77449.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/3/77506.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/16/78730.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/10/29224.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/5/54265.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/4/83350.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/4/84039.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/6/86610.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/9/91130.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/15/84336.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/11/526592.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/14/526595.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/9/527339.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/9/527358.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/7/527428.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/13/527429.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/11/527430.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/2/527431.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/9/527432.jpg
